id,province,district_code,district,year,population,rate,rate_growth,rate_mechanical,density,born,birth_rate,born_3,born_per_3,prenatal_screening,newborn_screening,m_to_f
133,01,13,Đông Anh,2018,385.151,-0.3,12.74,-0.20,7.484,6.248,16.22,479,7.67,78.01,82.01,113.0
134,01,14,Gia Lâm,2018,277.317,1.4,12.34,-0.26,4.198,4.517,16.29,259,5.73,79.44,80.44,109.8
135,01,15,Thanh Trì,2018,239.139,4.0,10.56,0.34,7.363,3.813,15.94,246,6.45,80.84,80.84,114.2
136,01,16,Hà Đông,2018,315.229,2.0,13.27,0.21,1.604,3.766,11.95,190,05.05,85.01,85.01,111.6
137,01,17,Sơn Tây,2018,150.627,3.4,10.71,0.38,7.115,1.823,12.1,239,13.11,85.17,85.17,109.8
138,01,18,Ba Vì,2018,296.428,1.7,9.52,-0.21,1.288,4.459,15.04,475,10.65,79.39,87.01,105.1
139,01,19,Phúc Thọ,2018,190.300,1.9,12.54,-0.08,672,2.940,15.45,339,11.53,84.95,84.95,114.9
140,01,20,Đan Phượng,2018,170.650,1.9,9.77,0.00,1.545,2.584,15.14,289,11.18,75.06,88.06,115.5
141,01,21,Thạch Thất,2018,212.421,2.0,10.78,0.37,2.105,3.118,14.68,391,12.54,90.80,85.03,109.4
142,01,22,Hoài Đức,2018,229.063,1.2,10.61,0.27,2.860,3.698,16.14,550,14.87,83.78,83.08,116.0
143,01,23,Quốc Oai,2018,193.597,1.8,10.36,0.07,1.257,2.870,14.82,346,12.06,83.56,83.56,106.5
144,01,24,Chương Mỹ,2018,330.810,1.5,11.13,-0.15,1.104,5.533,16.73,505,9.13,80.11,83.11,118.9
145,01,25,Thanh Oai,2018,205.486,2.3,11.33,0.12,1.402,3.160,15.38,245,7.75,72.53,79.53,113.4
146,01,26,Thường Tín,2018,250.750,1.9,11.5,0.05,1.665,3.868,15.43,440,11.38,70.70,70.70,114.0
147,01,27,Ứng Hòa,2018,205.571,2.2,10.78,0.00,1.914,2.984,14.52,409,13.71,82.02,76.00,120.6
148,01,28,Phú Xuyên,2018,214.081,2.5,9.52,0.28,1.242,3.405,15.91,342,10.04,73.08,76.08,109.5
149,01,29,Mỹ Đức,2018,193.322,0.5,7.91,0.05,1.091,2.960,15.31,335,11.32,80.84,82.00,116.7
150,01,30,Mê Linh,2018,228.523,2.7,10.13,-0.01,863,3.964,17.35,298,7.52,76.21,85.21,113.9
151,01,1,Ba Đình,2019,222.921,-9.9,11.23,1.00,24.810,3.449,15.47,42,1.22,87.17,87.05,108.3
152,01,2,Hoàn Kiếm,2019,135.867,-15.3,9.16,-0.23,26.276,2.602,19.15,40,1.54,81.99,87.24,117.1
153,01,3,Hai Bà Trưng,2019,304.300,-1.9,8.29,0.58,6.720,4.010,13.18,5,0.12,84.02,89.09,107.1
154,01,4,Đống Đa,2019,372.162,-11.9,12.57,-0.29,5.359,4.671,12.55,4,0.09,82.00,89.32,105.9
155,01,5,Thanh Xuân,2019,294.080,5.6,12,0.59,23.912,4.159,14.14,27,0.65,83.80,87.30,104.4
156,01,6,Tây Hồ,2019,163.951,-3.4,6.32,0.85,38.113,2.039,12.44,17,0.83,87.57,87.13,115.1
157,01,7,Cầu Giấy,2019,293.592,9.7,6.84,1.59,29.805,4.310,14.68,44,01.02,83.50,87.14,114.5
158,01,8,Hoàng Mai,2019,508.130,17.7,11.02,1.10,12.614,6.995,13.77,65,0.93,78.01,87.08,113.1
159,01,9,Long Biên,2019,323.585,9.7,10.25,3.98,32.299,5.280,16.32,140,2.65,88.29,89.31,114.2
160,01,10,Nam Từ Liêm,2019,264.902,9.3,14.15,2.14,1.131,4.082,15.41,103,2.52,82.93,87.02,113.1
161,01,11,Bắc Từ Liêm,2019,336.241,1.4,11.23,1.65,2.171,4.322,12.85,143,3.31,79.99,87.14,116.3
162,01,12,Sóc Sơn,2019,344.732,0.9,12.21,-0.24,2.459,5.982,17.35,908,15.18,95.01,88.13,112.3
163,01,13,Đông Anh,2019,401.042,4.1,13.55,0.20,8.235,6.028,15.03,441,7.32,80.48,83.19,112.7
164,01,14,Gia Lâm,2019,287.914,3.8,12.25,-1.01,4.401,4.625,16.06,253,5.47,75.04,83.06,116.0
165,01,15,Thanh Trì,2019,278.242,16.4,10.6,-0.04,7.445,4.399,15.81,229,5.21,85.02,83.17,112.3
166,01,16,Hà Đông,2019,400.046,26.9,13.3,0.80,1.687,4.808,12.02,208,4.33,81.99,87.00,114.4
167,01,17,Sơn Tây,2019,151.846,0.8,9.88,0.05,8.034,2.122,13.97,219,10.32,88.73,87.62,116.1
168,01,18,Ba Vì,2019,291.236,-1.8,10.68,-0.30,1.279,4.436,15.23,508,11.45,83.99,88.09,112.7
169,01,19,Phúc Thọ,2019,184.530,-3.0,9.93,-0.12,685,2.939,15.93,292,9.94,85.00,83.00,115.7
170,01,20,Đan Phượng,2019,175.487,2.8,10.96,-0.25,1.569,2.648,15.09,265,10.01,75.66,87.08,111.7
171,01,21,Thạch Thất,2019,217.110,2.2,10.71,0.35,2.240,3.149,14.5,366,11.62,86.57,85.28,107.7
172,01,22,Hoài Đức,2019,265.321,15.8,13.28,0.36,3.100,4.468,16.84,549,12.29,86.03,85.06,113.9
173,01,23,Quốc Oai,2019,196.595,1.5,10.98,0.31,1.290,2.997,15.24,327,10.91,89.16,83.95,115.0
174,01,24,Chương Mỹ,2019,338.013,2.2,10.64,-0.27,1.148,5.499,16.27,688,12.51,83.81,83.03,112.2
175,01,25,Thanh Oai,2019,215.429,4.8,12.01,0.16,1.425,3.203,14.87,225,07.02,81.01,80.00,114.8
176,01,26,Thường Tín,2019,255.648,2.0,10.35,0.22,1.711,3.912,15.3,440,11.25,91.99,70.87,115.9
177,01,27,Ứng Hòa,2019,211.995,3.1,10.86,0.31,1.950,3.677,17.34,460,12.51,83.80,90.52,115.6
178,01,28,Phú Xuyên,2019,215.940,0.9,11.31,0.39,1.260,3.390,15.7,313,9.23,82.59,80.00,110.5
179,01,29,Mỹ Đức,2019,201.732,4.4,11.2,0.05,1.118,3.029,15.01,289,9.54,81.53,81.27,115.1
180,01,30,Mê Linh,2019,241.311,5.6,10.33,0.12,882,4.178,17.31,282,6.75,77.99,85.29,112.8
181,01,1,Ba Đình,2020,225.521,1.2,10.16,0.94,24.495,3.087,13.69,35,1.13,84.01,88.08,107.4
182,01,2,Hoàn Kiếm,2020,139.524,2.7,8.52,-0.35,26.037,2.515,18.03,35,1.39,85.01,87.95,123.7
183,01,3,Hai Bà Trưng,2020,303.382,-0.3,7.97,-0.28,6.735,4.177,13.77,5,0.12,84.02,89.53,107.8
184,01,4,Đống Đa,2020,375.016,0.8,12.68,-0.21,5.495,5.006,13.35,5,0.10,84.55,89.13,111.3
185,01,5,Thanh Xuân,2020,295.850,0.6,12.34,0.70,24.078,4.118,13.92,26,0.63,84.09,87.01,107.3
186,01,6,Tây Hồ,2020,164.112,0.1,6.31,0.81,37.688,2.159,13.16,16,0.74,87.47,87.56,112.4
187,01,7,Cầu Giấy,2020,295.223,0.6,6.57,3.36,29.581,4.307,14.59,42,0.98,85.00,87.83,112.5
188,01,8,Hoàng Mai,2020,521.675,2.7,10.22,1.53,12.986,6.741,12.92,73,01.08,82.37,87.40,107.2
189,01,9,Long Biên,2020,330.229,2.1,10.6,0.05,32.268,5.202,15.75,137,2.63,88.83,89.50,113.8
190,01,10,Nam Từ Liêm,2020,274.063,3.5,13.76,3.62,1.151,4.390,16.02,130,2.96,83.53,88.10,113.3
191,01,11,Bắc Từ Liêm,2020,345.463,2.7,10.61,0.90,2.217,4.436,12.84,159,3.58,82.43,87.51,115.5
192,01,12,Sóc Sơn,2020,351.883,2.1,10.97,-0.05,2.494,6.216,17.66,943,15.17,94.21,86.01,113.9
193,01,13,Đông Anh,2020,411.661,2.6,13.33,0.17,8.518,6.025,14.64,466,7.73,84.36,83.06,112.6
194,01,14,Gia Lâm,2020,291.131,1.1,11.89,-0.37,4.497,4.668,16.03,263,5.63,83.46,83.13,115.8
195,01,15,Thanh Trì,2020,285.805,2.7,10.53,1.24,7.621,4.387,15.35,274,6.25,85.43,85.18,112.2
196,01,16,Hà Đông,2020,416.286,4.1,13.54,0.30,1.767,4.503,10.82,230,5.11,82.00,77.59,115.1
197,01,17,Sơn Tây,2020,152.354,0.3,11.88,0.10,8.423,2.158,14.16,224,10.38,88.22,86.07,100.8
198,01,18,Ba Vì,2020,296.918,2.0,7.76,-0.50,1.300,4.507,15.18,572,12.69,81.06,89.73,119.1
199,01,19,Phúc Thọ,2020,189.094,2.5,11.46,-0.44,705,2.860,15.12,317,11.08,95.01,89.50,116.5
